file,colourname,hexcolour
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-0-2475.jpg,darkslategray,#2f4f4f
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1050-1425.jpg,saddlebrown,#8b4513
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1125-1125.jpg,saddlebrown,#8b4513
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1125-2850.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1125-975.jpg,saddlebrown,#8b4513
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1350-1875.jpg,saddlebrown,#8b4513
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1350-2400.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1575-75.jpg,darkslategray,#2f4f4f
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1725-2475.jpg,darkslategray,#2f4f4f
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1950-1875.jpg,silver,#cccccc
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-2250-900.jpg,lightsteelblue,#b0c4de
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-225-1875.jpg,dimgray,#696969
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-225-2250.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-225-2700.jpg,forestgreen,#228b22
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-2325-2625.jpg,maroon,#800000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-2400-1275.jpg,saddlebrown,#8b4513
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-2400-375.jpg,saddlebrown,#8b4513
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-2475-450.jpg,saddlebrown,#8b4513
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-2550-300.jpg,saddlebrown,#8b4513
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-2625-1575.jpg,lightsteelblue,#b0c4de
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-2700-1125.jpg,lightsteelblue,#b0c4de
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-300-2475.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-375-0.jpg,darkslategray,#2f4f4f
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-450-2250.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-450-2925.jpg,midnightblue,#191970
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-525-1800.jpg,saddlebrown,#8b4513
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-750-150.jpg,darkslategray,#2f4f4f
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-975-2025.jpg,saddlebrown,#8b4513
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-1425-375.jpg,gray,#808080
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-150-1275.jpg,maroon,#800000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-1575-1500.jpg,firebrick,#b22222
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-1650-150.jpg,gray,#808080
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-1650-75.jpg,maroon,#800000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-1725-2700.jpg,darkseagreen,#8fbc8f
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-1800-0.jpg,maroon,#800000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-1800-2850.jpg,darkgray,#a9a9a9
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-2100-1200.jpg,saddlebrown,#8b4513
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-2250-1350.jpg,darkgray,#a9a9a9
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-2250-2325.jpg,firebrick,#b22222
