ruby: warning: shebang line ending with \r may cause problems
===========================================
 DEPRECATION: The cocaine gem is deprecated. Please upgrade to terrapin. See https://github.com/thoughtbot/terrapin/ for further instructions. 
===========================================
/usr/local/lib/ruby/gems/2.6.0/gems/miro-0.4.0/lib/miro.rb:13: warning: Insecure world writable dir /home/rtanglao/.local in PATH, mode 040777
D, [2020-02-15T20:03:28.096238 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-0-2475.jpg
D, [2020-02-15T20:03:28.096496 #120] DEBUG -- : dominant_colour:darkslategray
D, [2020-02-15T20:03:28.528677 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1050-1425.jpg
D, [2020-02-15T20:03:28.528856 #120] DEBUG -- : dominant_colour:saddlebrown
D, [2020-02-15T20:03:28.951621 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1125-1125.jpg
D, [2020-02-15T20:03:28.951935 #120] DEBUG -- : dominant_colour:saddlebrown
D, [2020-02-15T20:03:29.372134 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1125-2850.jpg
D, [2020-02-15T20:03:29.372470 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:29.777855 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1125-975.jpg
D, [2020-02-15T20:03:29.778281 #120] DEBUG -- : dominant_colour:saddlebrown
D, [2020-02-15T20:03:30.183719 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1350-1875.jpg
D, [2020-02-15T20:03:30.184915 #120] DEBUG -- : dominant_colour:saddlebrown
D, [2020-02-15T20:03:30.688656 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1350-2400.jpg
D, [2020-02-15T20:03:30.689062 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:31.187403 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1575-75.jpg
D, [2020-02-15T20:03:31.188011 #120] DEBUG -- : dominant_colour:darkslategray
D, [2020-02-15T20:03:31.634943 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1725-2475.jpg
D, [2020-02-15T20:03:31.635248 #120] DEBUG -- : dominant_colour:darkslategray
D, [2020-02-15T20:03:32.044390 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-1950-1875.jpg
D, [2020-02-15T20:03:32.044783 #120] DEBUG -- : dominant_colour:silver
D, [2020-02-15T20:03:32.467237 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-2250-900.jpg
D, [2020-02-15T20:03:32.467672 #120] DEBUG -- : dominant_colour:lightsteelblue
D, [2020-02-15T20:03:32.884580 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-225-1875.jpg
D, [2020-02-15T20:03:32.884953 #120] DEBUG -- : dominant_colour:dimgray
D, [2020-02-15T20:03:33.297808 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-225-2250.jpg
D, [2020-02-15T20:03:33.298163 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:33.731055 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-225-2700.jpg
D, [2020-02-15T20:03:33.731439 #120] DEBUG -- : dominant_colour:forestgreen
D, [2020-02-15T20:03:34.158360 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-2325-2625.jpg
D, [2020-02-15T20:03:34.158785 #120] DEBUG -- : dominant_colour:maroon
D, [2020-02-15T20:03:34.575983 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-2400-1275.jpg
D, [2020-02-15T20:03:34.576379 #120] DEBUG -- : dominant_colour:saddlebrown
D, [2020-02-15T20:03:34.979816 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-2400-375.jpg
D, [2020-02-15T20:03:34.980289 #120] DEBUG -- : dominant_colour:saddlebrown
